"dzien","Ilosc zwierzakow","Ilosc roslinek","Srednia energia","Sredni czas zycia","Ilosc wolnych pol","Najpopularniejszy gen"
"354","258","111","53","36.36941747572846","1100","077171325773147"
"355","261","117","52","36.44011297335496","1101","077171325773147"
"356","262","117","52","36.50516836479999","1087","077171325773147"
"357","269","110","51","36.57034283506053","1105","077171325773147"
"358","272","108","50","36.630452298114335","1095","077171325773147"
"359","270","108","50","36.69064538464391","1085","077171325773147"
"360","270","104","50","36.75067087322358","1084","077171325773147"
"361","272","102","50","36.810291941828666","1085","077171325773147"
"362","272","107","49","36.87011168168972","1086","077171325773147"
"363","267","99","51","36.93117249758824","1094","077171325773147"
"364","265","101","51","36.996923514662676","1095","077171325773147"
"365","263","101","51","37.06168359941988","1101","077171325773147"
"366","260","102","51","37.12394073395508","1109","077171325773147"
"367","256","98","52","37.18477403062072","1105","077171325773147"
"368","253","97","53","37.24985596312698","1102","077171325773147"
"369","251","96","53","37.316704328177025","1118","077171325773147"
"370","248","94","54","37.38341323272398","1113","077171325773147"
"371","252","92","53","37.45153285426294","1129","077171325773147"
"372","256","99","52","37.51756146943299","1116","077171325773147"
"373","264","96","50","37.578932982558456","1114","077171325773147"
"374","268","94","49","37.63548238975569","1114","077171325773147"
"375","269","92","49","37.683353366402415","1100","077171325773147"
"376","272","96","48","37.7325828305643","1108","077171325773147"
"377","270","100","48","37.78100989766858","1102","077171325773147"
"378","268","100","48","37.831429525718505","1099","077171325773147"
"379","266","100","48","37.88362040300632","1102","077171325773147"
"380","267","102","48","37.93852418313676","1095","077171325773147"
"381","262","99","49","37.995484583313136","1111","077171325773147"
"382","258","94","50","38.051572781123745","1117","077171325773147"
"383","248","94","52","38.11029231548544","1123","077171325773147"
"384","243","94","53","38.17396540220385","1121","077171325773147"
"385","242","94","53","38.23533035077521","1122","077171325773147"
"386","239","89","54","38.296541479640005","1126","077171325773147"
"387","245","93","52","38.360156337960596","1133","077171325773147"
"388","250","91","51","38.42071197411042","1132","077171325773147"
"389","252","94","51","38.47748452160631","1117","077171325773147"
"390","259","94","49","38.53110298792156","1126","077171325773147"
"391","261","93","49","38.58206049478504","1115","077171325773147"
"392","260","95","49","38.630769230769616","1109","077171325773147"
"393","263","96","48","38.680313971742926","1112","077171325773147"
"394","266","92","47","38.73050044557047","1120","077171325773147"
"395","269","92","47","38.78050413364717","1112","077171325773147"
"396","274","92","46","38.830831963782195","1114","077171325773147"
"397","275","92","45","38.87749336132934","1112","077171325773147"
"398","274","94","45","38.921933371255","1106","077171325773147"
"399","269","91","46","38.967269331455796","1115","077171325773147"
"400","266","96","46","39.01297453880201","1118","077171325773147"
"401","257","95","48","39.0617711370266","1110","077171325773147"
"402","255","96","48","39.11091615869834","1121","077171325773147"
"403","260","95","47","39.160257955641626","1118","077171325773147"
"404","265","94","46","39.208155730323945","1117","077171325773147"
"405","262","97","46","39.25521354999809","1110","077171325773147"
"406","264","97","45","39.30323877596636","1111","077171325773147"
"407","263","100","45","39.34562957029953","1107","077171325773147"
"408","267","101","44","39.3883159481106","1098","077171325773147"
"409","261","105","45","39.42698200120711","1101","077171325773147"
"410","259","107","45","39.465972731271385","1109","077171325773147"
"411","256","102","46","39.505586469789556","1118","077171325773147"
"412","250","105","47","39.54453255729386","1109","077171325773147"
"413","247","109","47","39.58525552736527","1108","077171325773147"
"414","247","107","47","39.628297362110594","1108","077171325773147"
"415","245","104","48","39.673221149001996","1108","077171325773147"
"416","237","109","49","39.71925294775831","1112","077171325773147"
"417","231","105","50","39.77025346313883","1123","077171325773147"
"418","232","108","50","39.820623521701016","1112","077171325773147"
"419","230","111","50","39.87253955179398","1115","077171325773147"
"420","233","114","49","39.92248457052296","1118","077171325773147"
"421","233","113","49","39.97285438153456","1106","077171325773147"
"422","227","113","51","40.02448319505023","1117","077171325773147"
"423","224","114","51","40.07707080477204","1117","077171325773147"
"424","223","116","51","40.130783527340654","1116","077171325773147"
"425","223","118","51","40.18608603588581","1111","077171325773147"
"426","224","125","50","40.241365422806496","1111","077171325773147"
"427","222","127","51","40.29552408245808","1106","077171325773147"
"428","223","127","51","40.351317405766856","1103","077171325773147"
"429","222","124","51","40.40529198084684","1113","077171325773147"
"430","217","121","52","40.46143927131092","1104","077171325773147"
"431","214","122","53","40.51881282910517","1126","077171325773147"
"432","211","127","54","40.57722047211914","1110","077171325773147"
"433","211","129","54","40.63831928202376","1113","077171325773147"
"434","209","126","54","40.699353229109086","1118","077171325773147"
"435","213","128","53","40.76058680367798","1117","077171325773147"
